CHJO 500 A1 SA.B500EAST_____1VP.VM,CHJO 500 A1 SA.B500EAST_____1VP.VA,CHJO 500 A1 SA.B500EAST_____1VA.VM,CHJO 500 A1 SA.B500EAST_____1VA.VA,CHJO 500 A1 SA.B500EAST_____1VB.VM,CHJO 500 A1 SA.B500EAST_____1VB.VA,CHJO 500 A1 SA.B500EAST_____1VC.VM,CHJO 500 A1 SA.B500EAST_____1VC.VA,CHJO 500 A1 SA.B500WEST_____1VP.VM,CHJO 500 A1 SA.B500WEST_____1VP.VA,CHJO 500 A1 SA.B500WEST_____1VA.VM,CHJO 500 A1 SA.B500WEST_____1VA.VA,CHJO 500 A1 SA.B500WEST_____1VB.VM,CHJO 500 A1 SA.B500WEST_____1VB.VA,CHJO 500 A1 SA.B500WEST_____1VC.VM,CHJO 500 A1 SA.B500WEST_____1VC.VA,CHJO 500 A1 SA.T500BANK3____1IP.IM,CHJO 500 A1 SA.T500BANK3____1IP.IA,CHJO 500 A1 SA.L500G_COULEE_3IP.IM,CHJO 500 A1 SA.L500G_COULEE_3IP.IA,CHJO 500 A1 SA.L500CHFJO_PH_5IP.IM,CHJO 500 A1 SA.L500CHFJO_PH_5IP.IA,CHJO 500 A1 SA.L500SICKLER__1IP.IM,CHJO 500 A1 SA.L500SICKLER__1IP.IA,CHJO 500 A1 SA.L500CHFJO_PH_6IP.IM,CHJO 500 A1 SA.L500CHFJO_PH_6IP.IA,CHJO 500 A1 SA.L500MONROE___1IP.IM,CHJO 500 A1 SA.L500MONROE___1IP.IA
312609.5938,86.08828486,312040.0313,86.2078405,313425.7188,-33.95198927,312364,-153.9919424,312631.9063,86.08329883,312370.7188,86.14272147,313453.0625,-33.92688832,312072.0938,-153.9671761,470.3578796,-63.98433105,136.7562561,-125.8258542,200.8237152,-91.26037731,452.227356,99.71536603,598.0401611,-89.53160862,888.9327393,92.74331383
312601.2813,85.85931643,312034.5,85.97904282,313413.5313,-34.18063327,312356.9063,-154.2212865,312623.5938,85.85454213,312361.875,85.91426531,313444.875,-34.15558355,312064.2813,-154.196165,470.4702148,-64.21398933,136.6928101,-125.9860358,200.8824768,-91.49685895,452.2345276,99.46047703,597.9896851,-89.77060377,889.0236206,92.5133277
312595.7813,85.63048461,312029.5625,85.75013586,313408.2813,-34.4092841,312350.5625,-154.4500842,312618.8125,85.62605864,312358.1563,85.6861848,313441.9063,-34.38426853,312056.6875,-154.4247032,470.5692139,-64.44700123,136.6543579,-126.1465179,200.9152527,-91.74581252,452.1456909,99.20327943,597.9705811,-90.01151137,889.1221924,92.28880573
312591.2188,85.40182353,312022.9688,85.52109913,313406.8438,-34.63797249,312344.8438,-154.6781852,312615.4063,85.39742489,312354.7813,85.45744176,313441.2188,-34.61314134,312050.5,-154.6528315,470.5867615,-64.68133819,136.6468201,-126.3007845,200.8506012,-91.99976578,452.0707703,98.96257673,598.0009155,-90.24976203,889.2633057,92.06328654
312587.5938,85.17286193,312019.2813,85.29184383,313404.125,-34.86707752,312340.4063,-154.906532,312611.3125,85.16796469,312350.75,85.22751027,313437.6875,-34.84273815,312045.7813,-154.8814926,470.5445557,-64.91398127,136.5770569,-126.4484669,200.7370148,-92.24567308,452.0465088,98.74174306,598.0496216,-90.4856836,889.3930054,91.82893592
312585.8438,84.94337441,312020.9063,85.06228117,313401.4375,-35.09644211,312336.25,-155.1358898,312607.875,84.93801271,312349.4688,84.99727143,313432.8125,-35.07262865,312041.5625,-155.1110825,470.5201416,-65.15114593,136.4312286,-126.6044274,200.6947021,-92.47696378,452.0036621,98.52554708,598.0493774,-90.72192618,889.3951416,91.59122485
312584.6563,84.71360001,312022.5625,84.83277998,313401.3125,-35.3257862,312331.0938,-155.3661764,312605.5313,84.70815635,312350.0625,84.76789319,313430.2813,-35.30228352,312036.5625,-155.3413829,470.5577087,-65.39440994,136.3314362,-126.7855094,200.7519073,-92.70951123,451.9186707,98.30080653,598.0067139,-90.9598968,889.3581543,91.35947653
312583.4063,84.48359339,312021.1875,84.60300559,313402.7813,-35.55527031,312327.25,-155.5967227,312603.875,84.47831365,312349.9375,84.53884962,313429.7813,-35.53185301,312032.1875,-155.5721203,470.5834045,-65.62695056,136.3555756,-126.9734489,200.8058624,-92.95440766,451.8716736,98.06845033,597.9874878,-91.19992331,889.3631592,91.13494772
312582.0313,84.25349115,312018.1563,84.37278723,313401.9688,-35.78525985,312327.0313,-155.8265858,312601.4375,84.24831386,312347.1563,84.30923915,313427.625,-35.76165814,312029.9375,-155.8024889,470.5080872,-65.84550296,136.3801117,-127.1603502,200.8020477,-93.20536247,451.9187317,97.84639405,597.9900513,-91.43749095,889.3288574,90.91177812
312579.5313,84.02343672,312015,84.14251423,313397.75,-36.0155431,312326.9375,-156.0559573,312598.2188,84.01810234,312342.4063,84.078932,313422.5,-35.99189357,312030.0313,-156.0323385,470.3656311,-66.06387094,136.3733368,-127.3746132,200.7969055,-93.44652279,452.0083923,97.63740392,597.9716187,-91.67014085,889.2729492,90.68538467
312577.1875,83.79308859,312013.8438,83.91226856,313393.4688,-36.24604149,312325.3438,-156.2860253,312596.6875,83.78755613,312341.0625,83.84804429,313418.125,-36.22248075,312031.125,-156.2622426,470.2837524,-66.29501137,136.3825378,-127.5927695,200.8233185,-93.67870824,452.053009,97.41785432,597.9309082,-91.90070072,889.286499,90.45513899
312575.7813,83.5625014,312014.0938,83.68204337,313390.3125,-36.47655696,312323.9375,-156.5167901,312596.75,83.55697578,312343.3125,83.61697899,313416.875,-36.45290743,312030.2813,-156.4922288,470.274353,-66.52757931,136.3960266,-127.7724034,200.8504944,-93.90978037,452.0334778,97.16787623,597.9059448,-92.13500353,889.3413086,90.22343165
312573.3438,83.33227621,312011.9688,83.45211188,313386.7813,-36.70644747,312322.4063,-156.7473773,312596,83.32699648,312344.9688,83.38665818,313416.4688,-36.6825623,312026.875,-156.7219553,470.2851257,-66.75412985,136.4062958,-127.9245937,200.8551636,-94.14047684,451.960968,96.91169632,597.9168091,-92.37606139,889.3859863,89.99000994
312569.2188,83.10233107,312006.7188,83.22205062,313381.2813,-36.93574716,312320.7188,-156.977582,312593.8125,83.09738601,312343.5,83.15706137,313414.4063,-36.91167758,312023.875,-156.9517912,470.2982788,-66.98542738,136.43367,-128.0920973,200.8450775,-94.37320188,451.8728943,96.67117804,597.9360352,-92.61863556,889.4439087,89.75740785
312564.4375,82.87221516,312000.125,82.9914566,313375.6875,-37.16512882,312318.6875,-157.2076911,312590.0625,82.86753648,312337.875,82.92739626,313410.7188,-37.14099435,312021.7813,-157.1820915,470.3065491,-67.22350045,136.4679413,-128.2814301,200.8431549,-94.61347427,451.7782593,96.43389044,597.9281006,-92.85640811,889.453125,89.5271007
312560.75,82.64166213,311994.75,82.76054157,313374.375,-37.39531986,312314.25,-157.4379504,312586.0313,82.63701077,312330.0938,82.69699349,313408.75,-37.37101463,312019.4063,-157.4129656,470.2794189,-67.45980451,136.4913483,-128.5030698,200.8419495,-94.85628749,451.6760254,96.1960291,597.9032593,-93.09145541,889.4009399,89.29468985
312561,82.41062415,311994.875,82.52948993,313379,-37.62611878,312310.2188,-157.6689611,312585.7188,82.40567226,312326.9063,82.46542276,313412,-37.60162231,312018.5,-157.6445363,470.1618652,-67.69103373,136.5103149,-128.7611416,200.8456573,-95.09867042,451.6385498,95.96317429,597.9013062,-93.32854493,889.3971558,89.06005236
312566.4375,82.17928564,312000.0313,82.29825388,313387.6563,-37.85679476,312312.5938,-157.9007504,312590.1563,82.17399224,312329.6875,82.23327829,313419.8438,-37.83248953,312021.25,-157.8762436,470.0044556,-67.91873858,136.538208,-129.0474085,200.8592834,-95.33931847,451.6855469,95.72598231,597.9185791,-93.56471238,889.4874268,88.82727268
312574.8125,81.94828181,312007.7188,82.06740031,313395.6563,-38.08741951,312322.0938,-158.1319659,312597.125,81.94283815,312337.875,82.00209687,313426,-38.06353434,312027.9375,-158.107186,469.934967,-68.13899169,136.5231171,-129.3313805,200.8734131,-95.5679249,451.7498474,95.47811475,597.9224243,-93.7959621,889.5310059,88.59876871
312584.7813,81.71815225,312018.6563,81.83718879,313402.9063,-38.31765836,312333.8438,-158.3616379,312606.5313,81.71272225,312349.625,81.77217222,313432,-38.29367073,312038.2188,-158.3371721,469.9934082,-68.35983903,136.4212952,-129.6059541,200.858902,-95.78408673,451.7116394,95.23619628,597.8935547,-94.02491687,889.4307861,88.37502537
312593.875,81.48853495,312030.4375,81.60735975,313410.1563,-38.54729956,312342.0313,-158.5907224,312616.7188,81.48338499,312361.5,81.54308084,313440.5313,-38.52256062,312048.4375,-158.566926,470.0899963,-68.58959293,136.2829742,-129.8649002,200.8215027,-96.00085645,451.6014404,95.00931788,597.8289795,-94.25349598,889.2989502,88.15066731
312598.3125,81.25865127,312037.375,81.37737362,313414.0625,-38.77659584,312344.4375,-158.8208042,312623.3125,81.25391795,312368.5313,81.31394165,313446.4375,-38.75136171,312055.2813,-158.7971034,470.1896667,-68.82509785,136.1979523,-130.1119891,200.8052368,-96.22606827,451.4921265,94.78694741,597.7544556,-94.48258052,889.211731,87.91832477
312598.8438,81.02771575,312038.0625,81.146281,313414.5313,-39.00668443,312344.9375,-159.0521563,312625.0938,81.02316684,312371,81.08326568,313445.125,-38.98162446,312059.375,-159.028155,470.2898254,-69.06035006,136.1963654,-130.3319485,200.8085785,-96.45937387,451.4758606,94.55658562,597.7305298,-94.71223881,889.1728516,87.67999215
312599.4688,80.79578301,312036.9375,80.91411604,313415.125,-39.23778046,312347.375,-159.2844237,312625.0938,80.79097456,312371.9688,80.85081385,313443.1563,-39.21327033,312060.2813,-159.2603542,470.3682861,-69.29301362,136.2664185,-130.5389852,200.7945404,-96.69125197,451.5603943,94.31900432,597.7838135,-94.94176731,889.1827393,87.4416527
312603.4063,80.56370002,312038.9375,80.68212867,313418.8438,-39.46931021,312353.4375,-159.5169097,312627.6563,80.55848858,312374.5625,80.61825274,313448.1875,-39.44541821,312060.5938,-159.4928401,470.3826599,-69.51778149,136.3338318,-130.7716351,200.7555847,-96.92483761,451.6579285,94.08211287,597.8505249,-95.17215642,889.1923828,87.20750698
312610.7188,80.33219075,312044.5,80.45121363,313425.4063,-39.70095949,312363.375,-159.7486307,312634.5938,80.3268837,312379.875,80.38688691,313459.2188,-39.67707774,312064.9375,-159.7244245,470.3362427,-69.73878592,136.3286438,-131.0771768,200.7301941,-97.16523977,451.6639404,93.85212674,597.8554077,-95.40361787,889.1637573,86.97950161
312620.0625,80.10076345,312051.5313,80.22040788,313435.4063,-39.93319617,312374.2813,-159.9796277,312643.7188,80.09544274,312387.0938,80.15567817,313470.9688,-39.90872019,312073.2188,-159.9556401,470.298645,-69.96034359,136.3206635,-131.425817,200.736908,-97.40467206,451.6071167,93.62660073,597.7984619,-95.63226529,889.135376,86.75304669
312629.5625,79.86851653,312060.4063,79.98851612,313446.5,-40.16613294,312382.6563,-160.2113351,312652.6875,79.86311385,312394.9375,79.92356786,313480.0625,-40.14127447,312083.375,-160.1877572,470.3480225,-70.18084942,136.3226776,-131.7793749,200.7703705,-97.63011611,451.569458,93.39739324,597.7189331,-95.85859043,889.1414795,86.51952252
