DateTime (ISO 8601),SUBSTATION900.500VP.VM,SUBSTATION900.500VP.VA,SUBSTATION901.500VP.VM,SUBSTATION901.500VP.VA,SUBSTATION911.500VP.VM,SUBSTATION911.500VP.VA,SUBSTATION919.500VP.VM,SUBSTATION919.500VP.VA,SUBSTATION902.500VP.VM,SUBSTATION902.500VP.VA,SUBSTATION923.500VP.VM,SUBSTATION923.500VP.VA,SUBSTATION910.500VP.VM,SUBSTATION910.500VP.VA,SUBSTATION916.500VP.VM,SUBSTATION916.500VP.VA,BREAKER4730.500IP.IM,BREAKER4730.500IP.IA,BREAKER4598.500IP.IM,BREAKER4598.500IP.IA,BREAKER4594.500IP.IM,BREAKER4594.500IP.IA,BREAKER4724.500IP.IM,BREAKER4724.500IP.IA,BREAKER4588.500IP.IM,BREAKER4588.500IP.IA,BREAKER4586.500IP.IM,BREAKER4586.500IP.IA,BREAKER4731.500IP.IM,BREAKER4731.500IP.IA,BREAKER4728.500IP.IM,BREAKER4728.500IP.IA,BREAKER4732.500IP.IM,BREAKER4732.500IP.IA,TRANSFORMER1419.500IP.IM,TRANSFORMER1419.500IP.IA,SUBSTATION.L500SUBSTATION1IP.IM,SUBSTATION.L500SUBSTATION1IP.IA,SUBSTATION.L500SUBSTATION2IP.IM,SUBSTATION.L500SUBSTATION2IP.IA,SUBSTATION.L500SUBSTATION3IP.IM,SUBSTATION.L500SUBSTATION3IP.IA,SUBSTATION.L500SUBSTATION4IP.IM,SUBSTATION.L500SUBSTATION4IP.IA,SUBSTATION.L500SUBSTATION5IP.IM,SUBSTATION.L500SUBSTATION5IP.IA
2017-01-01T09:02:03.520,312753.9063,-135.2225416,312773.125,-135.2278008,312741.0638,-134.8347667,312752.7199,-135.5013369,312535.4649,-135.2867911,312674.4619,-134.8519651,312608.43,-135.2175611,312988.038,-135.5119436,0,0,595.6802514,-131.2575935,296.2353876,56.70514099,0,0,196.6761932,-132.6809549,257.8658745,66.85450479,0,0,470.3782959,-105.8514869,551.9397582,-118.5724978,470.3782959,74.14851314,139.2753906,13.37991711,448.0731201,-121.5856591,890.0060425,-128.6148117,196.6761932,47.31904514,595.6802514,48.74240651
2017-01-01T09:02:03.560,312754.375,-135.3404989,312774.9375,-135.3451435,312794.9326,-135.3873849,312693.9169,-135.2740114,312731.8745,-135.0155965,312494.0752,-135.1396838,312997.8462,-135.2828362,312853.615,-135.3560382,0,0,595.8509103,-131.3699977,296.0331441,56.59487928,0,0,196.7290344,-132.7979833,257.7567587,66.74396074,0,0,470.3568726,-105.9603601,551.6296947,-118.6822334,470.3568726,74.03963992,139.0849152,13.18146597,448.0127563,-121.702346,889.9741211,-128.7282201,196.7290344,47.20201667,595.8509103,48.63000232
2017-01-01T09:02:03.600,312757.5313,-135.4572952,312778.8438,-135.4618987,312751.0538,-135.7527929,312877.1623,-135.4171442,312557.5387,-135.251479,312594.5298,-135.4120609,312673.9784,-135.7038681,312937.0098,-135.8053636,0,0,595.9229807,-131.4815806,295.8077971,56.50065298,0,0,196.7326202,-132.9136628,257.6135124,66.62335326,0,0,470.3444214,-106.0654699,551.2737096,-118.7882123,470.3444214,73.93453014,138.8598785,12.96915039,447.8778381,-121.8236092,889.8134155,-128.835618,196.7326202,47.08633718,595.9229807,48.51841944
2017-01-01T09:02:03.640,312763.5938,-135.572862,312785.375,-135.5780666,312619.9563,-135.7768615,313018.4795,-135.8629795,312535.4685,-135.4488101,312800.1547,-135.2425485,312545.2034,-135.4989528,312530.2334,-135.2796295,0,0,595.8457163,-131.5890514,295.6769416,56.40535528,0,0,196.6774597,-133.0253603,257.4289132,66.50263615,0,0,470.2601318,-106.1631962,550.9702785,-118.8960267,470.2601318,73.8368038,138.7712402,12.7817189,447.6470642,-121.9425501,889.6000977,-128.9396145,196.6774597,46.97463968,595.8457163,48.4109486
2017-01-01T09:02:03.680,312770.4063,-135.6874589,312793.0938,-135.6932236,313076.0041,-135.3943675,312665.0962,-135.309669,312801.6273,-135.4169481,312629.1632,-135.9698958,313048.9147,-135.7410748,312785.9902,-135.9570373,0,0,595.6435257,-131.6810422,295.681354,56.28790642,0,0,196.626236,-133.1420268,257.2564901,66.39138781,0,0,470.1139832,-106.2671449,550.8003971,-119.0123175,470.1139832,73.73285515,138.8176422,12.6456197,447.4226685,-122.0581169,889.4147339,-129.0394035,196.626236,46.85797322,595.6435257,48.31895782
2017-01-01T09:02:03.720,312775.9688,-135.8020558,312798.3125,-135.8078478,312578.5824,-136.1494787,312656.5553,-135.61816,312601.7865,-136.1581672,312855.7375,-135.9345229,312870.09,-136.100364,313025.2442,-135.8811309,0,0,595.4479049,-131.7709403,295.7372622,56.15757646,0,0,196.6131287,-133.2636554,257.1380199,66.28024179,0,0,470.0096741,-106.3900405,550.7300559,-119.1353676,470.0096741,73.60995955,138.8224335,12.53831145,447.2857056,-122.1756918,889.2943115,-129.1417744,196.6131287,46.73634462,595.4479049,48.22905967
2017-01-01T09:02:03.760,312778.4688,-135.9174314,312799.0313,-135.9229228,313004.1426,-136.2691601,312537.5073,-136.2373449,312939.6044,-136.317563,312994.3509,-135.9394061,313079.3707,-136.1897629,312534.5375,-135.7515503,0,0,595.4709113,-131.8772044,295.647784,56.03282481,0,0,196.5921173,-133.3775317,257.1213318,66.1636118,0,0,469.9605408,-106.5224983,550.6208251,-119.2557435,469.9605408,73.47750169,138.6868439,12.42180208,447.2503967,-122.2909307,889.2369995,-129.2547594,196.5921173,46.62246829,595.4709113,48.1227956
2017-01-01T09:02:03.800,312781.1875,-136.0331074,312800.4063,-136.038353,312489.5502,-136.225092,312604.6861,-136.3649343,312512.4982,-136.3845137,312729.5381,-136.2208489,312590.1397,-136.259551,312865.16,-136.1078425,0,0,595.6269255,-132.0003512,295.5036922,55.924135,0,0,196.5419312,-133.4767983,257.1169998,66.04174724,0,0,469.9372559,-106.643461,550.4784866,-119.3693703,469.9372559,73.35653904,138.550827,12.28468091,447.2117615,-122.401894,889.2424927,-129.374438,196.5419312,46.52320174,595.6269255,47.99964883
2017-01-01T09:02:03.840,312784.8125,-136.1479639,312805.4375,-136.1531548,312679.9543,-136.1903928,312967.6833,-136.131269,312602.7915,-136.489377,312981.9531,-135.8547444,312989.9479,-136.3127614,312523.2604,-135.9432572,0,0,595.5382483,-132.1202959,295.5917316,55.80943079,0,0,196.5266876,-133.5781241,256.9727109,65.92290214,0,0,469.9367981,-106.7525664,550.4243353,-119.4881674,469.9367981,73.2474336,138.5846558,12.13342723,447.0656128,-122.515521,889.2390747,-129.4918626,196.5266876,46.42187588,595.5382483,47.87970406
2017-01-01T09:02:03.880,312785.6563,-136.2617139,312809.3438,-136.2670278,312940.8744,-136.1215879,313064.9398,-136.4085946,313026.8915,-135.9527973,312943.5072,-136.3240592,312781.7888,-136.0372468,312730.2652,-135.9745756,0,0,595.2773257,-132.2291849,295.8846214,55.67679591,0,0,196.5442963,-133.6936534,256.7818047,65.80470238,0,0,469.8959656,-106.8592471,550.5200754,-119.618472,469.8959656,73.14075288,138.8376312,12.00880359,446.895813,-122.636593,889.2813721,-129.6061043,196.5442963,46.30634665,595.2773257,47.77081507
